index,variable,value
northwest_1_hr,offshore,16.500755940012777
southwest_24_hr,offshore,16.57788474901717
mean_loc_1_hr,photovoltaic,17.002262057122234
southeast_24_hr,offshore,17.09895728642806
mean_loc_24_hr,offshore,17.320508985068383
southeast_1_hr,offshore,17.401804140317456
southwest_1_hr,offshore,17.650705889294056
northeast_24_hr,offshore,17.92699415012901
northwest_24_hr,offshore,18.29456446068617
mean_loc_1_hr,offshore,18.908599849573942
northeast_1_hr,offshore,19.58156050110969
southwest_1_hr,photovoltaic,21.053797656446662
southeast_1_hr,photovoltaic,22.754647103581874
northeast_1_hr,photovoltaic,23.892288405104015
northwest_1_hr,photovoltaic,25.243235676887537
mean_loc_24_hr,photovoltaic,28.00898900431064
northwest_24_hr,photovoltaic,28.533782565472908
southwest_24_hr,photovoltaic,28.882328434142536
northeast_24_hr,photovoltaic,29.31998976640998
southeast_24_hr,photovoltaic,29.527856801729495
mean_loc_1_hr,onshore,45.593332439483454
northwest_1_hr,onshore,51.77550522389884
northeast_1_hr,onshore,55.58695476949058
southeast_24_hr,onshore,65.73973432626927
southwest_24_hr,onshore,70.28240772665225
northeast_24_hr,onshore,70.88206021500963
southwest_1_hr,onshore,71.16898844806207
mean_loc_24_hr,onshore,71.43917725500137
northwest_24_hr,onshore,75.01992264056514
southeast_1_hr,onshore,75.93835269284824
